,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer
1791,185179943,t,91346877286506093,864691135837428115,91417246030686658,864691135491529311,4328,[193522 122330  22552],[193582 122412  22552],[193560 122384  22555],"[728.4953134151591, 158.2531720520177, 902.0800000000003]",L2/3
1828,157843105,t,89446714968682512,864691135256399279,89446714968696962,864691135491529311,5500,[179566 120668  22497],[179666 120660  22490],[179588 120670  22498],"[673.463151966672, 146.7650875159584, 899.8800000000002]",L2/3
1834,180808612,t,90924115065792760,864691135256184239,90924046346319171,864691135491529311,2812,[190212 117960  22692],[190248 117832  22684],[190229 117909  22686],"[716.8291779956535, 139.68574669539493, 907.6800000000003]",L2/3
1862,180739736,t,90785232936168084,864691135737062532,90785232936177432,864691135491529311,8732,[189094 132020  22146],[189012 131938  22155],[189042 131972  22152],"[707.4725563336589, 195.32197603450723, 885.8400000000003]",L2/3
1863,172398362,t,90433801532067635,864691135489263812,90433801532059082,864691135491529311,276,[186746 134872  22110],[186856 134874  22109],[186814 134882  22103],"[697.1220230159159, 205.8679984144519, 884.4000000000002]",L2/3
1873,159522650,t,89376140132657147,864691135155929956,89376140132663217,864691135491529311,2280,[179104 119248  22538],[179144 119228  22544],[179074 119288  22539],"[672.117228783405, 140.94563781819966, 901.5200000000002]",L2/3
1878,192843973,t,92119352857792609,864691136109237176,92048915394136189,864691135491529311,3256,[198738 110346  22412],[198634 110262  22424],[198682 110332  22419],"[753.4578172804971, 112.31800042097888, 896.4800000000002]",L2/3
1915,185178718,t,91206552115032815,864691135012827894,91206620834483657,864691135491529311,6400,[192542 125610  22560],[192508 125680  22550],[192485 125633  22556],"[723.4467468537902, 170.9815959794105, 902.4000000000002]",L2/3
1951,187841620,t,91277607920211602,864691135737487473,91277607920220150,864691135491529311,4168,[192652 130592  21915],[192690 130568  21917],[192696 130610  21916],"[722.1482328794752, 190.8721124497918, 876.6000000000003]",L2/3
1976,191221020,t,92119490296443146,864691135952214819,92119490296450512,864691135491529311,5148,[198856 111452  22119],[198892 111450  22122],[198912 111384  22116],"[753.5424441720808, 116.76630327591364, 884.7600000000002]",L2/3
1977,170338877,t,90361371404896082,864691135695958426,90361302685430732,864691135491529311,3744,[186132 119546  23619],[186128 119490  23621],[186146 119468  23617],"[700.0183644908051, 144.58322413844726, 944.7600000000002]",L2/3
2037,194155075,t,92260640168869948,864691136482868268,92260640168864602,864691135491529311,3128,[199892 114830  22727],[199918 114794  22719],[199914 114798  22721],"[756.4930266049666, 130.58805943447567, 909.0800000000003]",L2/3
2052,180310765,t,91065539749078471,864691135474995008,91065539749083774,864691135491529311,2384,[191246 123342  22825],[191236 123466  22832],[191240 123366  22828],"[719.0731504370895, 161.49230230791838, 913.0000000000002]",L2/3
2084,184451972,t,91417108524804107,864691135994574250,91417108524812537,864691135491529311,2260,[193664 121204  22227],[193614 121122  22227],[193654 121210  22229],"[729.4537014690106, 153.81581559369312, 889.0800000000003]",L2/3
2100,185178504,t,91206277170511417,864691136952003807,91206277170513891,864691135491529311,1552,[192304 123442  22508],[192244 123432  22511],[192272 123456  22510],"[723.2541841023145, 162.25962329046317, 900.3200000000003]",L2/3
2103,171500318,t,90079896293925575,864691135278563233,90079896293929320,864691135491529311,3380,[184218 119932  22543],[184260 120000  22550],[184250 119938  22547],"[692.2569294154123, 145.4540843858248, 901.7200000000003]",L2/3
2105,185178299,t,91206139798115361,864691135454418026,91206139798149060,864691135491529311,3484,[192100 122408  22532],[192052 122404  22532],[192094 122364  22532],"[722.801765380676, 158.0682429330736, 901.2800000000002]",L2/3
2111,179563884,t,90852028267559746,864691136296781083,90852028267557439,864691135491529311,2536,[189850 105278  22168],[189770 105200  22170],[189782 105242  22169],"[719.8079245909198, 89.02458053509827, 886.7200000000003]",L1
2157,166075405,t,89797734055435077,864691135856060718,89797665335948670,864691135491529311,692,[182096 114438  22120],[182158 114318  22117],[182130 114370  22117],"[685.716563420632, 122.82193175611849, 884.8000000000003]",L2/3
2173,180311533,t,91065608468543873,864691135334764521,91065677188025211,864691135491529311,6208,[191438 124062  22820],[191510 124160  22819],[191481 124127  22822],"[719.5872194261106, 164.42827864885277, 912.8000000000003]",L2/3
2219,178543157,t,90853540096234938,864691136286606019,90853540096231795,864691135491529311,4144,[189942 116618  22336],[189894 116498  22332],[189878 116542  22340],"[716.2211397487838, 134.24404535387103, 893.4400000000003]",L2/3
2291,171364711,t,90361439990450048,864691136723518717,90361439990455471,864691135491529311,3120,[186174 120040  22845],[186232 120098  22851],[186198 120034  22848],"[700.0135054524151, 146.56634702665806, 913.8000000000003]",L2/3
