id,pt_root_id,pt_position_x,pt_position_y,pt_position_z,session,scan_idx,unit_id
190945,864691136379814101,145488,142624,23770,6,6,4189
190658,864691135135661593,144064,129344,21683,9,6,2295
190913,864691135586089596,138224,138192,23782,4,7,3470
190925,864691136578060820,142448,134192,23754,8,5,2191
190914,864691135082286839,138736,134560,23554,8,5,2190
190888,864691135374121545,131488,133760,23457,8,5,2520
190950,864691135989332224,146752,140544,24011,6,7,4381
190778,864691135469312338,145712,128816,22124,5,3,2140
190728,864691136912916977,138128,136832,22050,8,5,2185
190728,864691136912916977,138128,136832,22050,9,6,4904
190779,864691136106775001,145792,134880,22204,8,5,2408
188719,864691135927032590,133456,115888,20512,6,6,1643
188719,864691135927032590,133456,115888,20512,6,4,2012
190768,864691135639893051,144160,128800,22455,9,6,2450
190705,864691135865680860,135184,130704,22077,9,6,2148
190864,864691136274756109,144576,127680,22801,9,6,2063
188754,864691135838058899,140144,118368,20440,6,2,1961
190892,864691135113715353,134704,135584,24000,8,5,5226
190825,864691135940506369,139632,128416,22917,9,6,2176
190825,864691135940506369,139632,128416,22917,5,3,2519
190702,864691135701566331,133840,128368,22063,9,4,8071
190942,864691135576170782,145152,135152,24027,8,5,5149
190942,864691135576170782,145152,135152,24027,4,7,3455
190826,864691136021510136,139584,137120,22762,8,5,5118
190849,864691135864571006,143200,132400,22930,7,3,2681
190849,864691135864571006,143200,132400,22930,7,3,2137
190733,864691135927384020,138928,128928,22322,9,6,2091
190709,864691135591355659,135536,134976,22338,7,3,2200
190709,864691135591355659,135536,134976,22338,9,6,5392
190837,864691137020443758,140704,142848,23089,6,7,3921
190837,864691137020443758,140704,142848,23089,6,6,4206
190761,864691135910899113,143184,136944,21877,8,5,2523
190978,864691134964449311,134592,133632,24457,8,5,5607
190978,864691134964449311,134592,133632,24457,8,5,2496
190904,864691136008724652,136080,142832,23604,6,7,4129
190746,864691135808304669,140992,128336,22538,9,6,2414
190841,864691135367978489,141248,138160,23097,4,7,3685
190656,864691136437135006,143712,136192,21518,8,5,2161
190812,864691135884596592,135680,142688,23218,6,6,4266
190812,864691135884596592,135680,142688,23218,6,7,3924
188745,864691135359541080,137312,125248,20632,5,6,2338
190678,864691135408042185,146208,143552,21694,6,7,3891
190813,864691135701350267,135712,134512,23325,8,5,2720
192284,864691135866558085,143840,156608,18972,5,7,4772
192196,864691136090011703,134928,153216,19063,6,4,4832
192289,864691135349166039,145152,156096,18844,5,7,4769
190173,864691135292802230,147168,140976,17986,8,5,5046
192278,864691135123101735,142448,154800,19179,6,2,4914
190156,864691136117082020,145312,140848,18519,8,5,5150
190176,864691135560492001,147184,138272,18258,9,6,4929
156949,864691135565583639,130384,157120,18011,5,7,5335
190143,864691136617668315,143072,127184,18578,9,4,4838
190143,864691136617668315,143072,127184,18578,5,7,1948
190862,864691135749105961,144384,131280,23107,7,4,5956
190862,864691135749105961,144384,131280,23107,7,3,2397
190162,864691135565118743,145568,129792,18707,9,4,4837
190162,864691135565118743,145568,129792,18707,9,4,7676
190781,864691135700498722,146416,138768,22206,8,5,5343
192287,864691137198255681,144976,150016,19460,6,4,4575
192287,864691137198255681,144976,150016,19460,6,6,4259
192330,864691135842122467,131168,149648,19675,6,6,4333
190126,864691135463211677,139312,142640,18313,4,7,3499
190126,864691135463211677,139312,142640,18313,8,5,5080
190169,864691135946397988,146480,133296,18415,5,3,2247
192282,864691135590997515,143184,156896,19179,5,7,4770
190128,864691135359807832,140000,137712,18285,7,4,5930
192338,864691136057053656,133024,147792,19816,6,6,4480
190151,864691135278836385,144208,142960,17999,4,7,3229
192249,864691136056331480,137520,152864,18778,6,4,4503
