id,target_id,cell_type,pt_root_id,pt_position_x,pt_position_y,pt_position_z
1072,63825,23P,864691136057017048,91504,117680,17274
41488,63691,23P,864691136148762007,97504,115504,15749
12629,63822,23P,864691136100900725,90912,122800,17545
26342,63726,23P,864691135718481969,87520,121120,16750
10771,63728,4P,864691135385351253,87936,119264,16841
1016,63661,23P,864691135940309670,92032,124096,15826
33085,63761,23P,864691135989328896,94432,117744,17155
17246,63804,4P,864691136389037175,88304,124256,17684
21007,63849,23P,864691135616670313,95408,124736,17240
7803,63752,23P,864691135341042117,92864,113312,17030
30351,63830,23P,864691135516767955,92224,126640,17403
41479,63757,6P-IT,864691136145091921,93760,123376,16729
48436,63674,23P,864691135859714152,94928,123760,16117
2649,63760,23P,864691135103999821,94720,113872,16805
19826,63759,23P,864691135279121825,94240,119440,16708
43369,63663,23P,864691135374716233,93216,118896,16269
29212,63792,23P,864691135761546550,84016,125808,17723
25712,63793,23P,864691135699296290,84448,125872,17267
39616,63675,23P,864691135468552588,95088,122544,15920
47229,63798,NGC,864691136810393572,87664,125088,17833
24512,63801,23P,864691135946604580,87584,119408,17715
875,63645,4P,864691134964563743,88304,125392,15877
43282,63820,23P,864691136310077591,90240,124928,17764
42943,63854,23P,864691134885702394,96192,121568,17322
1350,63850,23P,864691135012464118,95520,121808,17987
39423,63783,23P,864691136237519631,82848,119552,17860
26183,63706,23P,864691136423534383,82624,111536,17065
39230,63868,BPC,864691136031740603,97552,124224,17192
44918,63762,23P,864691135992418753,95696,124352,16732
32636,63613,23P,864691135133456032,97760,125792,15022
28344,63794,23P,864691135292737718,84688,121296,17546
8302,63755,23P,864691135495109264,93184,126848,16556
27409,63852,23P,864691135762572854,95856,126192,17932
28307,63727,23P,864691135538999410,87728,122656,17005
40490,63664,4P,864691135684993207,93376,122288,16063
19445,518111,23P,864691135874540686,303680,114608,18597
36564,196462,4P,864691135749585193,136048,182432,17424
19233,167054,5P-IT,864691135469075794,127984,214944,20068
7982,552099,6P-IT,864691135942393460,312496,99680,23602
25951,581672,23P,864691135700434811,334480,116880,15374
20485,306474,5P-IT,864691136662979038,182144,233824,19468
4201,201029,5P-NP,864691136100646517,137968,215216,19453
3362,488751,4P,864691136903821746,289488,140592,19973
14638,66865,23P,864691136602580689,86144,131360,15565
4186,208278,6P-IT,864691135946285604,139344,271136,25560
42877,66834,23P,864691136286564503,82336,139136,15201
16245,66835,23P,864691135494046352,82288,127568,14888
40769,66844,23P,864691136115916625,83440,133168,14898
43445,66850,23P,864691136326276503,83840,130352,15651
20897,66858,BPC,864691135583653240,85360,136384,14864
39342,457464,4P,864691135684241138,274656,154176,19670
45496,66910,23P,864691136109821112,87376,133152,15625
32599,66942,23P,864691135855632942,88656,136832,14851
39758,66956,23P,864691136050846451,90080,127920,15213
5036,70291,23P,864691136602521809,88192,144096,16700
14647,66958,23P,864691135474687296,91392,132592,15123
3046,67026,23P,864691135941853556,84032,133488,16460
37916,66972,23P,864691135915984742,92864,141872,15627
43428,66967,23P,864691136317739159,92720,129008,15436
47462,66971,23P,864691136834907108,92928,131168,15149
31226,66974,23P,864691135856649518,93632,136320,15550
40636,70410,23P,864691136673642631,85360,145408,17912
6370,66990,23P,864691135278231457,97376,129088,14850
44438,70412,23P,864691136011839139,85536,153216,17619
43134,67009,23P,864691136308847255,82592,130240,16159
9725,70450,23P,864691137054449014,90016,144464,17865
1351,67023,23P,864691135012464886,84944,140080,16251
39950,70458,23P,864691135687889632,90848,156720,17985
