target_id,pt_root_id,cell_type,pt_position,pial_distances,layer,brain_region
64283,864691136443710595,exc,[ 92640 115664  21394],"[328.82678000821676, 96.52085406262236, 855.7600000000002]",L1,V1
64284,864691135415501242,exc,[ 92880 122144  21761],"[327.52405006636553, 122.42589015019813, 870.4400000000003]",L23,V1
64300,864691135118645469,exc,[ 95120 117920  21624],"[337.922537990732, 106.37509998625902, 864.9600000000003]",L23,V1
64292,864691135719217577,inh,[ 94128 117024  21768],"[334.28200361071157, 102.4589042010755, 870.7200000000003]",L23,V1
64307,864691136990415509,exc,[ 97792 117584  21649],"[348.68700424218946, 105.96773489051068, 865.9600000000003]",L23,V1
64306,864691135194439210,exc,[ 97792 121280  21252],"[347.39849374140806, 120.69547730709904, 850.0800000000003]",L23,V1
64221,864691135360986951,inh,[ 96064 125728  20348],"[338.9621210132316, 137.81735288167553, 813.9200000000003]",L23,V1
64215,864691135582052717,inh,[ 94816 125552  21033],"[334.0504747232519, 136.68095034642266, 841.3200000000003]",L23,V1
64902,864691135385328213,exc,[ 96672 124672  22268],"[341.75301237635676, 133.8213892432984, 890.7200000000003]",L23,V1
295460,864691135661410544,exc,[185088 157776  15691],"[682.530399250602, 296.5573549889228, 627.6400000000001]",L4,V1
452835,864691135938479413,exc,[262192 101712  24371],"[1009.3179815028847, 100.03494232892193, 974.8400000000003]",L23,RL
65496,864691135308682030,inh,[ 96288 111776  22816],"[344.71869915398304, 82.29981071607338, 912.6400000000002]",L1,V1
64212,864691135807805725,exc,[ 94496 124720  20343],"[333.0653998215587, 133.25405504045642, 813.7200000000003]",L23,V1
64216,864691135577755141,exc,[ 95280 116304  20665],"[339.12347731863156, 99.99147713315249, 826.6000000000003]",L23,V1
64270,864691136578359060,exc,[ 88944 114224  21143],"[314.6010546698549, 89.49426210083249, 845.7200000000003]",L1,V1
