pre_pt_root_id,post_pt_root_id,syn_volume
864691135335558377,864691135941226150,2488
864691135335558377,864691136522721169,2260
864691135335635177,864691135275079653,8640
864691135335635177,864691135349326551,16364
864691135335635177,864691136741045340,5864
864691135335733481,864691135396570401,3312
864691135335733481,864691135476788648,7580
864691135335733481,864691135510610384,5632
864691135335733481,864691135594774315,49600
864691135335733481,864691135738520689,1512
864691135335733481,864691135867411478,3752
864691135335733481,864691135939313409,1988
864691135335733481,864691135941226150,20768
864691135335733481,864691136110700216,16208
864691135335733481,864691136110743992,14160
864691135335733481,864691136419227543,2572
864691135335733481,864691137019776622,1816
864691135335855337,864691134965428255,728
864691135335937513,864691135135661593,2344
864691135335937513,864691135356428751,5628
864691135335937513,864691135947457121,28024
864691135336055529,864691135292774838,2596
864691135336055529,864691135430270512,4224
864691135336055529,864691135518335114,11948
864691135336055529,864691135585662584,1980
864691135336055529,864691135855659822,3288
864691135336055529,864691135946301732,1292
864691135336055529,864691136926869834,4348
864691135336055529,864691136973709852,4708
864691135336108265,864691135919801008,3456
864691135336113129,864691136032511419,6740
864691135339103718,864691136578410004,1992
864691135339103718,864691136741045340,5368
864691135339208934,864691135014479766,13380
864691135339208934,864691135270057125,21476
864691135339208934,864691135279030689,27128
864691135339208934,864691135783823667,8376
864691135339208934,864691136110743992,6892
864691135339208934,864691136239352636,9640
864691135339208934,864691136990712213,1364
864691135342418629,864691135941226150,3292
864691135342448561,864691135082183671,2820
864691135342448561,864691135293329590,51908
864691135342448561,864691135349326551,4160
864691135342448561,864691135430270512,60052
864691135342448561,864691135661221360,3356
864691135342448561,864691135699562274,5792
864691135342448561,864691135730135993,10764
864691135342448561,864691135867411478,2916
864691135342448561,864691136090834999,264
864691135342523057,864691135517320403,228
864691135342523057,864691135571742445,12180
864691135342523057,864691135988436227,11500
864691135342523057,864691136238372412,684
864691135342541509,864691136209119932,4812
864691135342585541,864691135156645988,21784
864691135342585541,864691135349326551,8664
864691135342585541,864691135386704513,7024
864691135342585541,864691135441799752,52588
864691135342585541,864691135476515752,12504
864691135342585541,864691135585662584,30200
864691135342585541,864691135699562274,10664
864691135342585541,864691135926596110,15924
864691135342585541,864691136109767096,10608
864691135342585541,864691136310774362,21904
864691135342585541,864691136371152008,7828
864691135342585541,864691136578410004,2620
864691135342585541,864691137054885238,18864
864691135342591173,864691135699562274,16228
864691135342594225,864691135274380517,1168
864691135342594225,864691135919801008,1256
864691135342594225,864691135926596110,2712
864691135342594225,864691135942611316,6096
864691135342594225,864691136208987580,3964
864691135342597809,864691135304509095,2116
864691135342825925,864691135014479766,356
864691135342825925,864691135725191083,10852
864691135342825925,864691135919801008,12896
864691135342825925,864691136926869834,212
864691135342941105,864691135113715353,1528
864691135342941105,864691135464019269,4268
864691135342941105,864691135476770216,28852
864691135342941105,864691135510422224,10940
864691135342941105,864691135569772934,5176
864691135342941105,864691135865646812,3924
864691135342941105,864691135989890952,9780
864691135342941105,864691136144547892,4544
864691135342941105,864691136195409622,8864
864691135346434975,864691135257498799,1068
864691135346434975,864691135688277216,2764
864691135346434975,864691135697605530,888
864691135346434975,864691135777228973,3512
864691135346434975,864691135856679726,3864
864691135346434975,864691135867499542,5308
864691135346434975,864691135926596110,27044
864691135346434975,864691135940073217,5332
864691135346434975,864691136371152008,5200
864691135346434975,864691136990670997,996
864691135346571423,864691135156645988,2912
864691135346571423,864691135273103121,2600
864691135346571423,864691135404851182,3516
864691135346571423,864691135468538962,20304
864691135346571423,864691135468706700,1460
864691135346571423,864691135885572208,1804
864691135346571423,864691136391392127,2808
864691135346598047,864691135119056861,4512
864691135346598047,864691136274974477,6276
864691135346685855,864691134989687674,7612
864691135346685855,864691135104785997,5652
864691135346685855,864691135368410105,43160
