pt_root_id,cell_type,tuning_type,layer,position_original,axon_proof,dendr_proof,pref_ori,osi
864691136051042547,exc,direction,L4,[211088 159744  15767],non,non,15.0,0.47423008
864691135974836591,exc,direction,L4,[176272 174656  17719],non,non,8.0,0.15539333
864691135987778952,exc,direction,L4,[250336 152816  18877],non,non,8.0,0.35592964
864691136041868118,exc,direction,L4,[205600 166640  19005],non,non,14.0,0.39514062
864691135987941635,exc,direction,L4,[215840 164192  25618],non,non,5.0,0.44908747
864691135988014595,exc,direction,L4,[156432 159232  26708],non,non,4.0,0.4426512
864691134989236602,exc,direction,L4,[200912 160832  22294],non,non,5.0,0.19900148
864691135991524801,exc,direction,L4,[141616 167856  17487],non,non,11.0,0.45161977
864691135991837633,exc,direction,L4,[190096 175744  23321],non,non,11.0,0.847068
864691135059266459,exc,direction,L4,[266528 155408  18200],non,non,9.0,0.45458585
864691135991953345,exc,direction,L4,[260416 160752  23607],non,non,1.0,0.27415317
864691135014167446,exc,direction,L4,[187280 162544  22042],clean,clean,12.0,0.42134804
864691135995296426,exc,direction,L4,[151136 161184  21534],non,non,10.0,0.826721
864691135995398826,exc,direction,L4,[215216 164544  16681],non,non,0.0,0.31338087
864691135013429750,exc,direction,L4,[241920 151216  19302],non,non,12.0,0.34720746
864691135997717757,exc,direction,L4,[125152 165344  16723],non,non,3.0,0.46345147
864691135059652251,exc,direction,L4,[177120 156960  23234],non,non,9.0,0.7132306
864691136091990452,exc,direction,L4,[266528 148704  16444],non,non,2.0,0.5718845
864691136310802266,exc,direction,L4,[155360 160240  18881],non,non,7.0,0.3900843
864691135275436773,exc,direction,L4,[191344 165760  21883],clean,clean,9.0,0.8822496
864691135884460656,exc,direction,L4,[154160 160768  20522],non,non,7.0,0.3768906
864691135874675854,exc,direction,L4,[183520 154880  21847],clean,clean,9.0,0.69488156
864691135270469029,exc,direction,L4,[275088 162544  16599],non,non,8.0,0.45999464
864691136106523353,exc,direction,L4,[169424 167120  26343],non,non,5.0,0.27463752
864691135884890992,exc,direction,L4,[163680 163552  17096],non,non,12.0,0.5093306
864691136106383321,exc,direction,L4,[143072 159408  23495],non,non,5.0,0.55913585
864691135270597285,exc,direction,L4,[221184 151936  16544],non,non,12.0,0.2779793
864691135270673317,exc,direction,L4,[180912 164960  21521],clean,clean,8.0,0.1646618
864691135270703269,exc,direction,L4,[179024 158224  17867],non,non,4.0,0.6633047
864691135874469006,exc,direction,L4,[151040 170144  22115],non,non,4.0,0.824508
864691136723555837,exc,direction,L4,[128016 168928  17798],non,non,2.0,0.4202189
864691135273243409,exc,direction,L4,[141376 175376  20217],non,non,10.0,0.41053954
864691135866790789,exc,direction,L4,[180528 155952  17147],non,non,9.0,0.6741579
