neuron_id,angle_shown,rate
864691135383435482,1,1.3901594
864691135383435482,2,0.7789705
864691135383435482,3,0.6870483
864691135383435482,4,1.3376365
864691135383435482,5,0.85490495
864691135383435482,6,1.3955572
864691135383435482,7,1.6819738
864691135383435482,8,1.6304928
864691135383435482,9,1.754624
864691135383435482,10,1.095096
864691135383435482,11,2.5572362
864691135383435482,12,1.2883608
864691135383435482,13,1.5335052
864691135383435482,14,1.1616001
864691135383435482,15,1.3387935
864691135294032140,0,1.3471296
864691135294032140,1,1.7882302
864691135294032140,2,2.3971984
864691135294032140,3,4.9474263
864691135294032140,4,4.7807274
864691135294032140,5,2.363887
864691135294032140,6,2.0241375
864691135294032140,7,0.91386926
864691135294032140,8,1.1469402
864691135294032140,9,1.2357773
864691135294032140,10,3.8612819
864691135294032140,11,7.129565
864691135294032140,12,5.0518236
864691135294032140,13,2.864803
864691135294032140,14,2.0109131
864691135294032140,15,1.7504609
864691135341781701,0,3.5795207
864691135341781701,1,4.148244
864691135341781701,2,11.047732
864691135341781701,3,7.842968
864691135341781701,4,8.031294
864691135341781701,5,11.266997
864691135341781701,6,5.3618536
864691135341781701,7,2.404798
864691135341781701,8,1.5898112
864691135341781701,9,4.0726557
864691135341781701,10,6.5847106
864691135341781701,11,12.678579
864691135341781701,12,10.170965
864691135341781701,13,9.097458
864691135341781701,14,7.411947
864691135341781701,15,1.8883606
864691135304485031,0,4.9741898
864691135304485031,1,4.000231
864691135304485031,2,3.3113647
864691135304485031,3,2.8790517
864691135304485031,4,4.741936
864691135304485031,5,4.7133617
864691135304485031,6,7.222645
864691135304485031,7,7.970791
864691135304485031,8,3.9926572
864691135304485031,9,2.8403237
864691135304485031,10,3.4615452
864691135304485031,11,1.9561125
864691135304485031,12,4.2063794
864691135304485031,13,4.1701064
864691135304485031,14,8.436308
864691135304485031,15,7.308412
864691135308049990,0,2.8780804
864691135308049990,1,2.5912738
864691135308049990,2,1.6112143
864691135308049990,3,1.9883871
864691135308049990,4,2.401733
864691135308049990,5,2.3050122
864691135308049990,6,2.8465865
864691135308049990,7,2.3026602
864691135308049990,8,2.1214252
864691135308049990,9,3.3347402
864691135308049990,10,1.6695045
864691135308049990,11,1.3928006
864691135308049990,12,1.8209944
864691135308049990,13,2.2614744
864691135308049990,14,2.4617648
864691135308049990,15,2.0369396
864691135349478615,0,5.9486923
864691135349478615,1,3.580031
864691135349478615,2,1.4785699
864691135349478615,3,0.4449334
864691135349478615,4,0.3941075
864691135349478615,5,0.78111064
864691135349478615,6,0.74884874
864691135349478615,7,4.2150517
864691135349478615,8,6.1356974
864691135349478615,9,3.0021646
864691135349478615,10,3.0852733
864691135349478615,11,1.9246696
864691135349478615,12,1.7117172
864691135349478615,13,0.57482076
864691135349478615,14,0.89212227
864691135349478615,15,2.698245
864691135349519319,0,0.9608613
864691135349519319,1,0.8072966
864691135349519319,2,0.41095543
864691135349519319,3,0.38600934
864691135349519319,4,0.22246404
864691135349519319,5,0.39586258
864691135349519319,6,0.4828214
864691135349519319,7,0.62731385
864691135349519319,8,0.8207699
864691135349519319,9,1.0549114
864691135349519319,10,0.6896099
864691135349519319,11,0.13838099
864691135349519319,12,0.37757665
864691135349519319,13,0.66077745
864691135349519319,14,0.6716206
864691135349519319,15,0.46863508
864691135349133015,0,0.20913753
864691135349133015,1,0.068673566
864691135349133015,2,0.18660645
864691135349133015,3,0.06169916
864691135349133015,4,0.10824392
864691135349133015,5,0.12612721
864691135349133015,6,0.0911458
864691135349133015,7,0.17582619
864691135349133015,8,0.13249037
864691135349133015,9,0.18633209
864691135349133015,10,0.05657261
864691135349133015,11,0.07776415
864691135349133015,12,0.15327714
864691135349133015,13,0.12474342
864691135349133015,14,0.10786424
864691135349133015,15,0.03330833
864691135349171415,0,2.3213067
864691135349171415,1,2.3738868
864691135349171415,2,3.7400162
864691135349171415,3,2.6751895
