pt_root_id,nucleus_id,cell_type,tuning_type,layer,axon_proof,dendr_proof,pref_ori,pial_dist_x,pial_dist_y,pial_dist_z
864691135865876444,226829,exc,selective,L4,non,non,1,575.1020923848173,263.645120121767,1046.8000000000002
864691136094459729,223538,exc,not_matched,L23,non,non,0,569.8979059690024,186.54616057139793,605.0000000000001
864691135476110504,257748,exc,selective,L23,non,non,0,639.5153368593026,206.64219093150336,691.2800000000001
864691136906675822,425021,exc,not_matched,L4,non,non,0,937.076016357112,278.09621710779396,632.0000000000001
864691135383330539,192877,inh,not_matched,L23,non,non,0,491.09148148632573,228.1560663662465,879.5200000000002
864691135808389149,363467,exc,not_selective,L4,non,non,7,798.3683449176818,273.73444913470087,848.5600000000003
864691136952816351,328574,exc,not_selective,L23,non,non,1,745.1758035950519,222.3107309140169,939.2000000000003
864691135876699219,457107,exc,not_selective,L4,non,non,5,1039.037828041576,294.918789503891,709.6800000000002
864691135503202114,325926,exc,not_matched,L23,non,non,0,782.7841672572434,156.66672050444228,761.1200000000001
864691136109164984,362605,exc,not_selective,L4,non,non,5,851.3883448255295,289.6801247168715,676.2000000000002
864691135725024939,255640,exc,not_selective,L23,non,non,4,623.3402993932038,132.30958552196395,618.0800000000002
864691135478659014,224137,exc,not_matched,L23,non,non,0,567.1618983055128,181.10298887969782,802.6400000000002
864691136105444569,197052,exc,not_matched,L4,non,non,0,486.25379432123947,354.6798955166984,832.8400000000003
864691136088968247,393099,exc,not_matched,L23,non,non,0,912.5843735863815,240.81175114151085,949.3200000000003
864691135475866176,292501,exc,not_matched,L23,non,non,0,728.0450260851225,130.99821357983484,765.4400000000002
864691135404639214,295028,exc,not_matched,L23,non,non,0,699.782822078222,220.5236715941468,987.2400000000002
864691136723553533,154503,exc,not_matched,L23,non,non,0,460.101303896388,176.29775790034938,648.4400000000002
864691135394488309,158889,exc,not_matched,L4,non,non,0,409.9804604356199,287.29581969775734,695.8000000000002
864691135837627539,229073,exc,not_matched,L4,non,non,0,545.2903693137484,331.962826754337,1104.2400000000002
864691136194605782,333290,exc,selective,L4,non,non,5,764.869845240491,336.4615581018553,906.6000000000003
864691135429586736,423604,exc,not_matched,L23,non,non,0,943.1626483800787,232.7581771124766,766.0000000000001
864691135755359698,195712,exc,not_matched,L4,non,non,0,490.5520662954735,309.95632792604766,1073.0000000000002
864691135975708015,109511,exc,not_matched,L23,non,non,0,349.9845901439549,189.53482496087003,767.9600000000002
864691135755633106,358703,exc,not_matched,L23,non,non,0,841.8123898856039,170.76100208729383,634.9600000000002
864691135387545473,361331,exc,selective,L23,non,non,1,847.0297841230115,217.60197198941555,831.7600000000002
864691136130364497,106235,exc,not_matched,L23,non,non,0,376.5552827891866,137.7013714742207,614.7600000000001
864691135701313915,457829,exc,not_matched,L4,non,non,0,998.8032527627322,267.9494888801992,908.4000000000002
864691135464358981,188718,exc,not_matched,L23,non,non,0,487.07306115974046,141.9096442834789,820.8000000000003
864691135066207812,224432,exc,not_matched,L23,non,non,0,584.6796361095033,169.59396501880332,891.0000000000002
864691135489720634,329896,exc,not_selective,L4,non,non,3,747.252339534759,263.93008716193475,731.5600000000002
864691135952015139,357260,exc,selective,L23,non,non,3,822.8035136237849,108.25842819419043,680.9200000000002
864691136032405691,395701,exc,not_matched,L4,non,non,0,905.0660536800242,325.27790560461915,615.8000000000002
864691135639778107,391368,exc,selective,L23,non,non,3,875.5656554704315,155.78982316377196,988.2400000000002
864691136311746365,393078,exc,not_selective,L23,non,non,7,888.4118600503028,234.39255077479123,950.6000000000003
864691135859707752,420185,exc,not_matched,L23,non,non,0,972.2180218659909,90.10769160473586,659.0800000000002
864691135758494286,67805,exc,not_matched,L23,non,non,0,320.0825209766476,161.2209450516528,861.5600000000003
864691136741327452,357929,exc,not_selective,L23,non,non,0,816.1830438507579,93.6096732988269,881.2000000000003
864691136262786788,109175,inh,not_matched,L23,non,non,0,345.3031433650056,177.68973584951803,675.7600000000001
864691136578272276,364089,exc,not_matched,L4,non,non,0,825.2906521576137,306.73445781468024,1045.1600000000003
864691135941257382,228745,exc,not_matched,L4,non,non,0,577.2777601856178,332.76978227371217,970.6800000000003
864691136100946293,334123,exc,not_matched,L4,non,non,0,750.3184880766518,358.123754959293,1096.4000000000003
864691135816281167,255971,exc,not_selective,L23,non,non,2,646.211123254475,115.42264927210782,691.7600000000001
864691135838858131,363735,exc,not_matched,L4,non,non,0,815.4662901363002,280.2413941399338,922.6400000000002
864691135777843389,263455,exc,not_matched,L4,non,non,0,617.9699887374762,306.7774349483295,1035.4800000000002
864691136903065010,326034,exc,not_matched,L23,non,non,0,799.4792559062952,128.125184193299,786.9600000000003
864691135725450155,298435,exc,not_matched,L4,non,non,0,705.3104441416726,357.0770624796304,727.0800000000002
864691136904073138,428422,exc,selective,L4,non,non,2,945.9915744232216,350.95852226189845,861.2800000000002
864691134940813411,293773,exc,not_matched,L23,non,non,0,676.9617373497566,195.72029868205667,665.5200000000001
864691135293899788,152814,exc,not_matched,L23,non,non,0,468.9174118177085,122.52551270713082,644.3600000000001
864691136389166199,257545,exc,selective,L23,non,non,5,657.8405505795623,209.40183984156576,646.8800000000001
864691135341029573,393060,exc,not_selective,L23,non,non,5,869.2914536120771,246.5965374036376,947.2400000000002
864691136673533319,424208,exc,selective,L23,non,non,2,962.7829043662556,234.66746049555212,919.2400000000002
864691136923763940,395376,exc,not_matched,L4,non,non,0,882.6292418451951,312.9715793173607,1034.6400000000003
864691136209035196,157759,exc,not_matched,L23,non,non,0,444.3901342382316,247.19823696764936,949.0800000000003
864691135837469843,263155,exc,selective,L4,non,non,0,645.4021163753227,319.2638168606729,937.3200000000003
864691135940925697,361695,exc,not_matched,L23,non,non,0,825.1644972602539,214.9180736289485,938.9600000000003
864691135163360813,364155,exc,not_matched,L4,non,non,0,817.143148656193,286.0416135758053,1060.6800000000003
864691135864781950,255767,exc,not_matched,L23,non,non,0,645.879075307616,140.51318645569526,633.0000000000001
864691135387492225,36498,exc,not_matched,L4,non,non,0,245.0607625809443,338.01110792056556,833.7200000000003
864691135570295430,256275,exc,not_matched,L23,non,non,0,614.6926864087568,145.2370894446561,786.6800000000003
864691135701676411,294657,exc,selective,L23,extended,extended,1,682.997127397857,200.16723953699187,889.9200000000003
864691136090099511,193878,exc,not_matched,L4,non,non,0,485.9242894834846,322.46458830782814,631.8000000000002
864691135517665235,298946,exc,selective,L4,clean,clean,7,699.6152522913819,343.60141489636425,846.0000000000002
864691135748983081,155911,exc,not_matched,L23,non,non,0,454.08834136218525,181.87491645666404,1038.6400000000003
864691135133436320,452187,exc,not_matched,L23,non,non,0,1028.4706420136504,121.24090175921796,675.4000000000001
864691135617260649,157609,exc,not_matched,L23,non,non,0,432.85807599710205,236.55264216401363,905.6400000000002
864691135341317829,425851,exc,not_matched,L4,non,non,0,933.0194754078093,274.5290922814627,798.7600000000002
864691135989339648,457545,exc,selective,L4,non,non,2,1008.5319511820904,291.86440429015147,826.3600000000002
864691136975144988,294682,exc,selective,L23,clean,clean,4,705.8631536235612,181.86650521715086,891.6400000000002
864691135368089593,455498,exc,not_matched,L4,non,non,0,1029.4029434508502,250.83931828515472,768.2400000000001
864691135082718711,159951,exc,not_matched,L4,non,non,0,408.4738601564799,326.5458691193682,948.5600000000003
864691136042575702,391364,exc,selective,L23,non,non,2,873.5565177161711,154.52189040356507,973.0000000000002
864691136618100443,159961,exc,not_matched,L4,non,non,0,419.0661319244177,321.49783714699043,941.4800000000002
864691135572094189,389613,inh,not_matched,L23,non,non,0,893.4367414719474,99.85454029931844,923.2800000000002
864691135762464054,426784,inh,not_matched,L4,non,non,0,957.9867482611476,298.2995874018204,1040.6000000000004
864691136854232174,193757,exc,not_matched,L4,non,non,0,495.89873623137237,300.98016390144574,603.5200000000001
864691135877748307,292446,exc,not_matched,L23,non,non,0,679.9523661028182,165.20884385503533,752.5200000000001
864691135495346320,196896,exc,not_matched,L4,non,non,0,476.2058223759085,357.9124579346331,794.2400000000002
864691135441752136,421684,exc,not_matched,L23,non,non,0,991.1147319107554,170.78163712300156,665.8000000000002
864691136021517304,260881,exc,selective,L4,non,non,0,615.3341532021234,279.628396456505,947.1600000000003
864691135738215300,154892,exc,not_matched,L23,non,non,0,457.47006388340435,203.43569827897934,768.8000000000002
864691135954545416,157418,exc,not_matched,L23,non,non,0,407.53008502725646,239.66902106129547,877.8400000000003
864691136116982692,112826,exc,not_matched,L4,non,non,0,385.5773426353712,255.60836751827173,756.0800000000002
864691135465306693,192193,exc,not_matched,L23,non,non,0,484.8714694650819,247.8488937522665,770.0800000000002
864691134940324707,290612,exc,not_matched,L23,non,non,0,702.7155609207831,73.91739548401115,612.3600000000001
864691136824234980,109073,exc,not_matched,L23,non,non,0,354.00431067265896,178.8364561659969,642.2800000000001
864691135463677246,109354,exc,not_matched,L23,non,non,0,380.77511681339996,204.75631856098008,691.2400000000001
864691135684146930,360507,exc,not_matched,L23,non,non,0,802.0187923257885,237.88418551334593,636.6000000000001
864691135565372695,392945,exc,not_matched,L23,non,non,0,868.1921314324981,218.04005914133282,922.0000000000002
864691136194212584,454892,exc,not_matched,L23,non,non,0,1001.6965994280235,232.67543222272857,614.2800000000001
864691135375179593,192339,exc,not_matched,L4,non,non,0,476.1873251694216,272.20871718865766,786.4800000000002
864691136618032859,365950,exc,selective,L4,non,non,3,829.5538091932514,328.50084410385307,922.4400000000003
864691135386379905,394325,exc,not_matched,L4,non,non,0,906.0783823787488,271.8508297104086,759.6000000000001
864691136974048540,106502,exc,not_matched,L23,non,non,0,398.8213451606795,132.1327965695629,698.6000000000001
864691135773209163,299318,exc,selective,L4,clean,extended,6,705.7979526694437,336.81846155470595,946.4000000000002
864691135114079385,360550,exc,selective,L23,non,non,3,820.4081959074323,208.33448209839727,647.6000000000001
864691135916649318,389709,exc,selective,L23,non,non,4,926.5644365389137,88.36207687540026,942.0000000000002
864691136025093433,222335,exc,selective,L23,non,non,0,602.1229527403278,131.03150844616252,698.6400000000001
864691135584573560,193660,exc,not_matched,L4,non,non,0,462.9999112990072,325.27730031851337,610.2000000000002
864691136724469757,225333,exc,not_matched,L23,non,non,0,571.3887553174455,234.85994519049237,645.2800000000001
864691135065739332,259572,exc,not_selective,L4,non,non,1,606.526166357443,276.031040796588,645.1600000000001
864691135855661102,158118,exc,not_matched,L23,non,non,0,461.6441469040996,241.6408758199403,1034.8000000000002
864691135468262796,457062,exc,not_selective,L4,non,non,0,1018.7863079262479,286.27285282713564,695.8800000000001
864691134964861215,159541,exc,not_matched,L4,non,non,0,429.65623616208035,336.301156647543,863.1200000000002
864691135564531991,257160,exc,not_matched,L23,non,non,0,655.4041055028832,124.89993439921307,1048.9600000000003
864691135441331784,421921,exc,selective,L23,non,non,4,961.5885254510587,186.63659155684843,766.6000000000001
864691136238210876,297268,exc,not_matched,L4,non,non,0,705.3588825456158,270.6082442055206,1038.2400000000002
864691136194910934,157478,exc,not_matched,L4,non,non,0,446.2957472489714,255.52400414270892,889.6000000000003
864691135947939681,296316,exc,not_matched,L4,non,non,0,691.7438435958305,283.03691019973854,767.2400000000001
864691135865801598,292362,exc,not_matched,L23,non,non,0,710.2038818078069,156.48423741400725,721.6400000000001
864691135584817784,192770,exc,selective,L23,non,non,1,491.12093198794264,224.88217500153166,865.4400000000003
864691135590516491,364057,exc,not_selective,L4,non,non,1,804.3735619540735,288.07239851199444,1041.4000000000003
864691135947607137,392572,inh,not_matched,L23,non,non,0,882.7452805477832,213.98100373049238,787.4800000000002
864691135341825477,425813,exc,not_selective,L4,non,non,1,978.2024017534769,306.62116380765053,753.1600000000001
864691135699286306,189855,exc,selective,L23,non,non,3,482.92276420368245,163.64663789291197,676.6400000000001
